ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0968  0.9032
NWD447217     0.0     1.0
NWD506902  0.6965  0.3035
NWD516805  0.0451  0.9549
NWD598769   0.058   0.942
NWD276731     0.0     1.0
NWD857305     0.0     1.0
NWD573145  0.4946  0.5054
NWD378807  0.2976  0.7024
NWD773408   0.305   0.695
NWD862131  0.5503  0.4497
NWD696182   0.272   0.728
NWD601219  0.0641  0.9359
NWD445484  0.1009  0.8991
NWD245122     0.0     1.0
NWD574025  0.2071  0.7929
NWD962792  0.0199  0.9801
NWD140824  0.4091  0.5909
NWD347140  0.9958  0.0042
NWD388542  0.0096  0.9904
NWD409874  0.2435  0.7565
NWD641240  0.7256  0.2744
NWD620567  0.3529  0.6471
NWD754070     0.0     1.0
NWD338378  0.1777  0.8223
NWD660071  0.2075  0.7925
NWD452926  0.2052  0.7948
NWD233967  0.2888  0.7112
NWD878543  0.7225  0.2775
...           ...     ...
NWD907433  0.0829  0.9171
NWD712032  0.1579  0.8421
NWD677776  0.1627  0.8373
NWD599306  0.0274  0.9726
NWD684484     0.0     1.0
NWD826684     0.0     1.0
NWD428381  0.0635  0.9365
NWD174966  0.0868  0.9132
NWD938526  0.0627  0.9373
NWD328083  0.5875  0.4125
NWD318497  0.0315  0.9685
NWD731252  0.0096  0.9904
NWD412116  0.2563  0.7437
NWD640560  0.1185  0.8815
NWD639242  0.2544  0.7456
NWD599371  0.0977  0.9023
NWD720391  0.2114  0.7886
NWD431959  0.6732  0.3268
NWD584394     0.0     1.0
NWD344310  0.1415  0.8585
NWD517673     0.0     1.0
NWD527323  0.2322  0.7678
NWD418773   0.316   0.684
NWD857221  0.3129  0.6871
NWD836765     0.0     1.0
NWD396724  0.0452  0.9548
NWD125656   0.109   0.891
NWD912070  0.2542  0.7458
NWD597815  0.2583  0.7417
NWD512818  0.0285  0.9715

[201 rows x 2 columns]
