ID            CEU     YRI
NWD163203  0.1095  0.8905
NWD838454  0.2641  0.7359
NWD447217   0.172   0.828
NWD506902  0.3677  0.6323
NWD516805  0.0289  0.9711
NWD598769  0.0015  0.9985
NWD276731  0.0759  0.9241
NWD857305   0.122   0.878
NWD573145  0.4698  0.5302
NWD378807  0.0024  0.9976
NWD773408  0.2019  0.7981
NWD862131  0.6795  0.3205
NWD696182  0.1368  0.8632
NWD601219   0.204   0.796
NWD445484  0.4311  0.5689
NWD245122   0.124   0.876
NWD574025  0.6673  0.3327
NWD962792  0.2986  0.7014
NWD140824  0.3463  0.6537
NWD347140  0.9656  0.0344
NWD388542  0.3986  0.6014
NWD409874  0.1218  0.8782
NWD641240  0.3283  0.6717
NWD620567  0.5005  0.4995
NWD754070  0.0127  0.9873
NWD338378   0.209   0.791
NWD660071  0.6475  0.3525
NWD452926  0.1405  0.8595
NWD233967  0.5672  0.4328
NWD878543   0.379   0.621
...           ...     ...
NWD907433  0.0069  0.9931
NWD712032  0.1221  0.8779
NWD677776  0.1422  0.8578
NWD599306  0.0805  0.9195
NWD684484     0.0     1.0
NWD826684  0.0515  0.9485
NWD428381  0.2332  0.7668
NWD174966  0.3198  0.6802
NWD938526  0.1458  0.8542
NWD328083  0.1373  0.8627
NWD318497  0.3158  0.6842
NWD731252  0.1366  0.8634
NWD412116  0.1402  0.8598
NWD640560  0.1653  0.8347
NWD639242  0.2652  0.7348
NWD599371   0.053   0.947
NWD720391   0.007   0.993
NWD431959  0.2985  0.7015
NWD584394     0.0     1.0
NWD344310  0.0713  0.9287
NWD517673  0.0068  0.9932
NWD527323  0.4459  0.5541
NWD418773  0.3295  0.6705
NWD857221  0.0279  0.9721
NWD836765     0.0     1.0
NWD396724  0.3046  0.6954
NWD125656  0.0076  0.9924
NWD912070  0.2527  0.7473
NWD597815   0.029   0.971
NWD512818  0.1603  0.8397

[201 rows x 2 columns]
