ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454     0.0     1.0
NWD447217  0.2382  0.7618
NWD506902  0.7217  0.2783
NWD516805     0.0     1.0
NWD598769  0.0394  0.9606
NWD276731  0.2946  0.7054
NWD857305  0.0669  0.9331
NWD573145  0.4755  0.5245
NWD378807     0.0     1.0
NWD773408     0.5     0.5
NWD862131  0.6187  0.3813
NWD696182     0.0     1.0
NWD601219  0.2507  0.7493
NWD445484  0.2813  0.7187
NWD245122     0.0     1.0
NWD574025  0.4711  0.5289
NWD962792  0.0658  0.9342
NWD140824  0.4861  0.5139
NWD347140  0.8043  0.1957
NWD388542  0.3772  0.6228
NWD409874  0.2571  0.7429
NWD641240  0.3236  0.6764
NWD620567  0.0616  0.9384
NWD754070     0.0     1.0
NWD338378     0.0     1.0
NWD660071  0.5457  0.4543
NWD452926  0.4025  0.5975
NWD233967   0.439   0.561
NWD878543  0.4627  0.5373
...           ...     ...
NWD907433     0.0     1.0
NWD712032  0.3508  0.6492
NWD677776  0.1116  0.8884
NWD599306  0.3643  0.6357
NWD684484     0.0     1.0
NWD826684     0.0     1.0
NWD428381  0.0858  0.9142
NWD174966  0.1484  0.8516
NWD938526  0.3912  0.6088
NWD328083   0.018   0.982
NWD318497  0.1686  0.8314
NWD731252  0.0855  0.9145
NWD412116  0.5426  0.4574
NWD640560  0.1762  0.8238
NWD639242  0.1209  0.8791
NWD599371  0.1348  0.8652
NWD720391  0.3002  0.6998
NWD431959  0.2066  0.7934
NWD584394     0.0     1.0
NWD344310  0.0029  0.9971
NWD517673  0.0043  0.9957
NWD527323  0.0361  0.9639
NWD418773     0.0     1.0
NWD857221  0.0455  0.9545
NWD836765     0.0     1.0
NWD396724     0.0     1.0
NWD125656  0.1234  0.8766
NWD912070  0.1168  0.8832
NWD597815  0.0713  0.9287
NWD512818  0.5958  0.4042

[201 rows x 2 columns]
