ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454     0.0     1.0
NWD447217  0.1197  0.8803
NWD506902  0.7172  0.2828
NWD516805  0.0134  0.9866
NWD598769  0.0512  0.9488
NWD276731  0.2119  0.7881
NWD857305  0.0914  0.9086
NWD573145  0.4201  0.5799
NWD378807  0.0761  0.9239
NWD773408  0.1023  0.8977
NWD862131  0.1192  0.8808
NWD696182  0.0175  0.9825
NWD601219  0.1842  0.8158
NWD445484  0.2673  0.7327
NWD245122  0.0276  0.9724
NWD574025  0.3582  0.6418
NWD962792     0.0     1.0
NWD140824  0.3033  0.6967
NWD347140  0.9302  0.0698
NWD388542  0.2036  0.7964
NWD409874  0.0906  0.9094
NWD641240  0.5383  0.4617
NWD620567   0.133   0.867
NWD754070  0.1077  0.8923
NWD338378  0.1103  0.8897
NWD660071  0.4176  0.5824
NWD452926  0.1035  0.8965
NWD233967   0.866   0.134
NWD878543  0.4799  0.5201
...           ...     ...
NWD907433     0.0     1.0
NWD712032  0.4348  0.5652
NWD677776  0.2049  0.7951
NWD599306     0.0     1.0
NWD684484     0.0     1.0
NWD826684     0.0     1.0
NWD428381  0.2485  0.7515
NWD174966   0.194   0.806
NWD938526  0.2141  0.7859
NWD328083   0.443   0.557
NWD318497  0.1219  0.8781
NWD731252     0.0     1.0
NWD412116   0.006   0.994
NWD640560  0.6733  0.3267
NWD639242  0.1746  0.8254
NWD599371  0.0453  0.9547
NWD720391  0.2325  0.7675
NWD431959  0.6382  0.3618
NWD584394     0.0     1.0
NWD344310     0.0     1.0
NWD517673  0.2355  0.7645
NWD527323  0.0883  0.9117
NWD418773  0.0229  0.9771
NWD857221  0.0831  0.9169
NWD836765     0.0     1.0
NWD396724  0.2111  0.7889
NWD125656     0.0     1.0
NWD912070  0.2546  0.7454
NWD597815     0.0     1.0
NWD512818  0.1093  0.8907

[201 rows x 2 columns]
