ID            CEU     YRI
NWD163203  0.0094  0.9906
NWD838454  0.0183  0.9817
NWD447217   0.185   0.815
NWD506902  0.9172  0.0828
NWD516805  0.0142  0.9858
NWD598769  0.1878  0.8122
NWD276731  0.1128  0.8872
NWD857305  0.2956  0.7044
NWD573145  0.2141  0.7859
NWD378807     0.2     0.8
NWD773408  0.2171  0.7829
NWD862131  0.4319  0.5681
NWD696182  0.3868  0.6132
NWD601219  0.2849  0.7151
NWD445484  0.3711  0.6289
NWD245122  0.0665  0.9335
NWD574025  0.3456  0.6544
NWD962792  0.1472  0.8528
NWD140824  0.2695  0.7305
NWD347140  0.8372  0.1628
NWD388542  0.3358  0.6642
NWD409874  0.0603  0.9397
NWD641240  0.5677  0.4323
NWD620567  0.2444  0.7556
NWD754070  0.0258  0.9742
NWD338378  0.0133  0.9867
NWD660071  0.4728  0.5272
NWD452926  0.0428  0.9572
NWD233967  0.6741  0.3259
NWD878543  0.1405  0.8595
...           ...     ...
NWD907433  0.0364  0.9636
NWD712032  0.2756  0.7244
NWD677776  0.2781  0.7219
NWD599306  0.2992  0.7008
NWD684484     0.0     1.0
NWD826684  0.0998  0.9002
NWD428381  0.5296  0.4704
NWD174966  0.3842  0.6158
NWD938526   0.076   0.924
NWD328083  0.5284  0.4716
NWD318497  0.0018  0.9982
NWD731252  0.0267  0.9733
NWD412116   0.255   0.745
NWD640560  0.2893  0.7107
NWD639242  0.2062  0.7938
NWD599371  0.0334  0.9666
NWD720391   0.006   0.994
NWD431959  0.4746  0.5254
NWD584394     0.0     1.0
NWD344310  0.0064  0.9936
NWD517673  0.0394  0.9606
NWD527323  0.2798  0.7202
NWD418773  0.1774  0.8226
NWD857221   0.094   0.906
NWD836765     0.0     1.0
NWD396724     0.0     1.0
NWD125656  0.1326  0.8674
NWD912070  0.4238  0.5762
NWD597815  0.0758  0.9242
NWD512818  0.3011  0.6989

[201 rows x 2 columns]
