ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0205  0.9795
NWD447217  0.1468  0.8532
NWD506902  0.5714  0.4286
NWD516805     0.0     1.0
NWD598769  0.1113  0.8887
NWD276731   0.072   0.928
NWD857305   0.337   0.663
NWD573145  0.4653  0.5347
NWD378807  0.2034  0.7966
NWD773408  0.2372  0.7628
NWD862131  0.3794  0.6206
NWD696182  0.1425  0.8575
NWD601219  0.2818  0.7182
NWD445484  0.2293  0.7707
NWD245122     0.0     1.0
NWD574025  0.4141  0.5859
NWD962792  0.1902  0.8098
NWD140824  0.3616  0.6384
NWD347140  0.7801  0.2199
NWD388542  0.5928  0.4072
NWD409874  0.0881  0.9119
NWD641240  0.4192  0.5808
NWD620567  0.7976  0.2024
NWD754070  0.0393  0.9607
NWD338378     0.0     1.0
NWD660071  0.1001  0.8999
NWD452926  0.0647  0.9353
NWD233967  0.7786  0.2214
NWD878543  0.1236  0.8764
...           ...     ...
NWD907433     0.0     1.0
NWD712032   0.297   0.703
NWD677776  0.5124  0.4876
NWD599306     0.0     1.0
NWD684484     0.0     1.0
NWD826684  0.0387  0.9613
NWD428381  0.5523  0.4477
NWD174966  0.3985  0.6015
NWD938526  0.1961  0.8039
NWD328083    0.16    0.84
NWD318497  0.1566  0.8434
NWD731252     0.0     1.0
NWD412116  0.1072  0.8928
NWD640560  0.5543  0.4457
NWD639242  0.2635  0.7365
NWD599371     0.0     1.0
NWD720391  0.2787  0.7213
NWD431959  0.5557  0.4443
NWD584394     0.0     1.0
NWD344310  0.2045  0.7955
NWD517673  0.0062  0.9938
NWD527323  0.1599  0.8401
NWD418773  0.1274  0.8726
NWD857221   0.165   0.835
NWD836765  0.0091  0.9909
NWD396724  0.2264  0.7736
NWD125656  0.0046  0.9954
NWD912070  0.3156  0.6844
NWD597815     0.0     1.0
NWD512818  0.0975  0.9025

[201 rows x 2 columns]
