ID            CEU     YRI
NWD163203  0.2905  0.7095
NWD838454  0.0026  0.9974
NWD447217  0.1311  0.8689
NWD506902  0.6799  0.3201
NWD516805  0.0716  0.9284
NWD598769  0.3425  0.6575
NWD276731  0.1664  0.8336
NWD857305  0.0398  0.9602
NWD573145  0.0085  0.9915
NWD378807  0.0545  0.9455
NWD773408  0.3763  0.6237
NWD862131  0.3349  0.6651
NWD696182  0.3699  0.6301
NWD601219  0.1906  0.8094
NWD445484  0.1125  0.8875
NWD245122  0.0437  0.9563
NWD574025  0.1212  0.8788
NWD962792   0.017   0.983
NWD140824  0.2037  0.7963
NWD347140  0.5384  0.4616
NWD388542  0.2422  0.7578
NWD409874  0.0401  0.9599
NWD641240  0.1374  0.8626
NWD620567  0.1618  0.8382
NWD754070  0.1405  0.8595
NWD338378  0.0637  0.9363
NWD660071  0.5143  0.4857
NWD452926  0.3992  0.6008
NWD233967   0.694   0.306
NWD878543    0.09    0.91
...           ...     ...
NWD907433   0.162   0.838
NWD712032  0.0286  0.9714
NWD677776     0.0     1.0
NWD599306  0.0844  0.9156
NWD684484     0.0     1.0
NWD826684  0.1155  0.8845
NWD428381  0.3031  0.6969
NWD174966  0.4159  0.5841
NWD938526  0.3474  0.6526
NWD328083  0.0339  0.9661
NWD318497  0.0915  0.9085
NWD731252  0.2985  0.7015
NWD412116  0.5894  0.4106
NWD640560  0.5296  0.4704
NWD639242  0.3805  0.6195
NWD599371     0.0     1.0
NWD720391     0.0     1.0
NWD431959  0.4775  0.5225
NWD584394  0.0028  0.9972
NWD344310  0.0877  0.9123
NWD517673  0.3121  0.6879
NWD527323  0.2463  0.7537
NWD418773   0.149   0.851
NWD857221  0.3206  0.6794
NWD836765     0.0     1.0
NWD396724  0.0122  0.9878
NWD125656  0.0791  0.9209
NWD912070  0.6584  0.3416
NWD597815   0.218   0.782
NWD512818  0.0352  0.9648

[201 rows x 2 columns]
